epi_date_v2,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1
5/11/2022,3,0.0,4,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,4
5/12/2022,2,0.0,6,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6
5/13/2022,0,0.0,6,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6
5/14/2022,0,0.0,6,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6
5/15/2022,1,0.0,7,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,7
5/16/2022,6,1.857142857,13,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,13
5/17/2022,3,2.142857143,16,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,16
5/18/2022,2,2.0,18,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,18
5/19/2022,3,2.142857143,21,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,21
5/20/2022,0,2.142857143,21,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,21
5/21/2022,1,2.285714286,22,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,22
5/22/2022,1,2.285714286,23,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,23
5/23/2022,3,1.857142857,26,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,26
5/24/2022,4,2.0,30,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,30
5/25/2022,4,2.285714286,34,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,34
5/26/2022,2,2.142857143,36,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,36
5/27/2022,4,2.714285714,40,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,40
5/28/2022,0,2.571428571,40,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,40
5/29/2022,6,3.285714286,46,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,46
5/30/2022,5,3.571428571,51,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,51
5/31/2022,6,3.857142857,57,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,57
6/1/2022,11,4.857142857,68,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,68
6/2/2022,12,6.285714286,80,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,80
6/3/2022,6,6.571428571,86,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,86
6/4/2022,4,7.142857143,90,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,90
6/5/2022,5,7.0,95,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,95
6/6/2022,22,9.428571429,117,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,117
6/7/2022,19,11.28571429,136,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,136
6/8/2022,13,11.57142857,149,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,149
6/9/2022,6,10.71428571,155,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,155
6/10/2022,22,13.0,177,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,177
6/11/2022,11,14.0,188,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,188
6/12/2022,28,17.28571429,216,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,216
6/13/2022,23,17.42857143,239,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,239
6/14/2022,26,18.42857143,265,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,265
6/15/2022,35,21.57142857,300,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,300
6/16/2022,26,24.42857143,326,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,326
6/17/2022,32,25.85714286,358,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,358
6/18/2022,25,27.85714286,383,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,383
6/19/2022,36,29.0,419,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,419
6/20/2022,38,31.14285714,457,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,457
6/21/2022,42,33.42857143,499,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,499
6/22/2022,62,37.28571429,561,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,561
6/23/2022,56,41.57142857,617,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,617
6/24/2022,49,44.0,666,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,666
6/25/2022,54,48.14285714,720,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,720
6/26/2022,63,52.0,783,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,783
6/27/2022,93,59.85714286,876,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,876
6/28/2022,89,66.57142857,965,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,965
6/29/2022,76,68.57142857,1041,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1041
6/30/2022,111,76.42857143,1152,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1152
7/1/2022,136,88.85714286,1288,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1288
7/2/2022,123,98.71428571,1411,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1411
7/3/2022,129,108.1428571,1540,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1540
7/4/2022,160,117.7142857,1700,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1700
7/5/2022,187,131.7142857,1887,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,1887
7/6/2022,172,145.4285714,2059,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,2059
7/7/2022,182,155.5714286,2241,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,2241
7/8/2022,241,170.5714286,2482,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,2482
7/9/2022,187,179.7142857,2669,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,2669
7/10/2022,217,192.2857143,2886,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,2886
7/11/2022,346,218.8571429,3232,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,3232
7/12/2022,231,225.1428571,3463,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,3463
7/13/2022,268,238.8571429,3731,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,3731
7/14/2022,295,255.0,4026,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,4026
7/15/2022,345,269.8571429,4371,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,4371
7/16/2022,252,279.1428571,4623,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,4623
7/17/2022,245,283.1428571,4868,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,4868
7/18/2022,396,290.2857143,5264,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,5264
7/19/2022,328,304.1428571,5592,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,5592
7/20/2022,356,316.7142857,5948,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,5948
7/21/2022,339,323.0,6287,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6287
7/22/2022,361,325.2857143,6648,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6648
7/23/2022,299,332.0,6947,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,6947
7/24/2022,310,341.2857143,7257,Data as Reported to CDC as of 04 Jan 2023 2:00 PM EDT,7257
