epi_date_v3,cases,7-day average,cumulative cases,asof,cumulative_sum
2022-05-10,1.0,0.0,1.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1
2022-05-11,5.0,0.0,6.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
2022-05-12,0.0,0.0,6.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
2022-05-13,0.0,0.0,6.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
2022-05-14,0.0,0.0,6.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
2022-05-15,2.0,0.0,8.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,8
2022-05-16,7.0,2.142857074737549,15.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,15
2022-05-17,3.0,2.4285714626312256,18.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,18
2022-05-18,2.0,2.0,20.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,20
2022-05-19,3.0,2.4285714626312256,23.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,23
2022-05-20,0.0,2.4285714626312256,23.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,23
2022-05-21,1.0,2.5714285373687744,24.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,24
2022-05-22,1.0,2.4285714626312256,25.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,25
2022-05-23,3.0,1.8571428060531616,28.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,28
2022-05-24,4.0,2.0,32.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,32
2022-05-25,2.0,2.0,34.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,34
2022-05-26,2.0,1.8571428060531616,36.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,36
2022-05-27,4.0,2.4285714626312256,40.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,40
2022-05-28,0.0,2.2857143878936768,40.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,40
2022-05-29,6.0,3.0,46.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,46
2022-05-30,8.0,3.7142856121063232,54.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,54
2022-05-31,5.0,3.857142925262451,59.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,59
2022-06-01,9.0,4.857142925262451,68.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,68
2022-06-02,13.0,6.428571224212647,81.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,81
2022-06-03,7.0,6.857142925262451,88.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,88
2022-06-04,5.0,7.5714287757873535,93.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,93
2022-06-05,6.0,7.5714287757873535,99.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,99
2022-06-06,20.0,9.285714149475098,119.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,119
2022-06-07,19.0,11.285714149475098,138.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,138
2022-06-08,12.0,11.714285850524902,150.0,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,150
