epi_date_v3,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,1
5/11/2022,5,0.0,6,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,6
5/12/2022,0,0.0,6,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,6
5/13/2022,0,0.0,6,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,6
5/14/2022,0,0.0,6,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,6
5/15/2022,2,0.0,8,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,8
5/16/2022,7,2.142857143,15,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,15
5/17/2022,3,2.428571429,18,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,18
5/18/2022,2,2.0,20,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,20
5/19/2022,3,2.428571429,23,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,23
5/20/2022,0,2.428571429,23,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,23
5/21/2022,1,2.571428571,24,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,24
5/22/2022,1,2.428571429,25,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,25
5/23/2022,3,1.857142857,28,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,28
5/24/2022,4,2.0,32,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,32
5/25/2022,2,2.0,34,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,34
5/26/2022,2,1.857142857,36,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,36
5/27/2022,4,2.428571429,40,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,40
5/28/2022,0,2.285714286,40,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,40
5/29/2022,6,3.0,46,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,46
5/30/2022,8,3.714285714,54,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,54
5/31/2022,5,3.857142857,59,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,59
6/1/2022,9,4.857142857,68,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,68
6/2/2022,13,6.428571429,81,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,81
6/3/2022,7,6.857142857,88,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,88
6/4/2022,5,7.571428571,93,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,93
6/5/2022,6,7.571428571,99,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,99
6/6/2022,20,9.285714286,119,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,119
6/7/2022,19,11.28571429,138,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,138
6/8/2022,12,11.71428571,150,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,150
6/9/2022,6,10.71428571,156,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,156
6/10/2022,24,13.14285714,180,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,180
6/11/2022,11,14.0,191,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,191
6/12/2022,27,17.0,218,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,218
6/13/2022,25,17.71428571,243,Data as Reported to CDC as of 01 Mar 2023 2:00 PM EDT,243
